,0
41,"Most clarity I have seen from an Indian entrepreneur. No jargon, clear thoughts and brutally honest."
42,"I love this guy. Ashneer is a no nonsense, straight forward guy. He has created so much value for society. Way to go, bro!"
43,"such a great conversation,right set and relevant questions,great episode,good job raj sir"
44,One of the best Business Interviews I have heard and watched. Thanks Raj Sir for presenting such a nice interview to us and of course a big thanks to Ashneer Sir also!
45,The best podcast I listened to from an Entrepreneur and a genuine person. Respect and learned a lot ️
46,"Thanks for changing people's perception about Ashneer, this is one of the best podcast you made!!"
47,"Wonderful conversation, lot of things to learn from this podcast. Love the way Ashneer speaks. He is very honest, doesn’t hide anything. Razor sharp words  from Ashneer. Bravo brother. Always Be the way you are. Truth never fails."
48,"Best advice in the podcast:
Internet businesses are about convenience. For your business:
 Cost of delivery -low
 Ticket size - high
 To know things when starting entrepreneurial/business journey-
i) Know your market size
ii) Whats ur differentiation
iii)how you gonna make money"
49,The man is a genius and geniuses are often misunderstood! Thanks shark tank for introducing us to this great entrepreneur 
50,"The best podcast ever ,,, I love this whole podcast ️️️️"
51,Great. Such a honest conversation and issues of entrepreneurs described by Ashneer in simple terms.
52,Ashneer is truly an Inspiration! Every point has something to learn. Great podcast
53,"What a Gem! the way he said he doesn't follow books/podcasts rather he observers the market and believes in art of buying, truly brilliant !!"
54,After watching this interview I really became a huge fan of Ashneer. What a genuine personality
55,Loved this. Clarity of Ashneer's thoughts is mind boggling. Something like MS Dhoni as captain .
56,"Just like the journey of a ""no"" is much shorter than the journey of a ""yes""... The bits & pieces of Ashneer we see on Shark Tank form an oversimplified depiction of the Ashneer we see in this longer interview. He is so incisive with his commentary. His perspective on business-related matters is always golden. You might not agree with everything he says but you have to respect the man for embracing a unique viewpoint that often differs from conventional wisdom. ""Dhande"" ki baat toh koi Ashneer bhai se seekhe."
57,I just dropped a business idea while watching the podcast. There’s so much to learn from this man. ️
58,What a straight forward man! Loved each and everything he said!
59,"Legendary conversation!
Feeling honoured to have witnessed it live "
60,cheers bro! somehow u turned this conversation into an informative session and Ashneer's way of explaining things is commendable.
61,Ashneer is someone the youth can look up to . He is very realistic and doesn't fear big frauds like Kotak .
62,This is the guy with simple words... He explain clearly business  and dhan dha a lay man can also understand 
63,One of the quality interview on the internet. You can get quality life lesson for business and even in your personal life.
64,"Bro I can listen to him for hours without losing concentration, what a gem of a person Ashneer is!"
65,"To be honest,
I love Ashneer's attitude. I had no problem with him being that honest and blunt in Shark tank. I need such friends in real life."
66,"Amazing conversation !!! No non sense, only genuine advise and extremely relatable"
67,Very few podcast would top this. Thank you for letting the audiences know about the true self of Mr. Ashneer Grover.
68,"India will certainly go forward.
It's so great to see people getting inspired by him."
69,"Candid and straightforward, Huge respect for Ashneer!!"
70,"The most straightforward clear headed guy.. In the world of diplomacy, he comes as a fresh person who is so direct and true. He thinks and speaks the same language. So inspired by him. Great motivational video"
71,This person is gem  of Indian market. This guy has Knowledge and implementation of it in a profitable manner. Big respect :)
72,What a guy! Was already impressed by Ashneer but now I respect him as person. A guy with values. Amazing podcast.
73,"What a great time to release the podcast. Amidst all the controversy,  Let's make an entrepreneurial spirit podcast, showcasing his greatness and smartness. Gain sympathy from the audience, make people forget about all the things he's said and done over the years. Proper image refurbishment."
74,"When Mr Grover said he want to launch the product at every 6 months interval. 
It's certainly means we need to keep innovating to be in this competitive globalised world"
75,"One of the best podcast I have ever seen, as I have interest in this subject .
Bro pliz bring more entrepreneur like this"
76,"""Rude is a function of how you perceive it , it's not how I am telling it""  --- by Ashneer sirrrr"
77,"""If you don't like a person that much, get to know them better.""

Ashneer's image changed just listening to him. People were judging him just based on leaked audio. 

We all talk like that when we get angry. If we say we will hurt someone, we don't actually mean it. No one can say ""How can he say like that"" because we all behave like that. He was just at the wrong place at the wrong time. 

People are just waiting to point fingers at someone when he is doing something wrong, esp if he is famous. Go to the street behind your house, everyone talks like that and no one cares."
78,Ashneer is like the best mentor one can ever get
79,"Great Conversation & best line as an investor - ""You can be problem solver but can't be problem""."
80,"The more you get to know him...The more you will love his personality and his opinion..!
Truely Inspired..!
"
81,"Yes it is brutal honesty, that makes Ashneer Grover a class "
82,"business needs clearity and thats what this man speaks,loved it."
83,Damnn this guy should teach in big Business schools. People need to learn his strategies. Not everything is present in books and curriculum.
84,"This Guy, Mr. Raj Shamani, really knows what public wants to listen to.. Really thankful to him for starting such talks on YouTube. ... Thanks a lot man. Wish u take this way ahead.. Eagerly waiting for such knowledgeable contents ahead.."
85,Great episode. Please invite Mr.Anupam Mittal. His thought process and deep understanding of a thing add immense value to us.
86,"Respect.....  Great entrepreneur, Inspirational talk ... Amazing ️"
87,"Great podcast!!! On a different note, from now onwords people will change their perspective towards the brutal honest people around them."
88,"Woww , his words make an impact , so much learning - thank you so much sir for giving us so many lessons  !"
89,Such a legendary man..even going through serve conflicts and arguments..he is sooo damm confident..never ending attitude..who !!!
90,"This interview taught me more about brand building, exceution and consumer psycology than 2 yrs of my mba"
91,What I like most about Ashneer is he keeps everything simple.
92,this man is a real gem... Immense respect  Raw n genuine knowledge 100% practical
93,"Awesome natural, spontaneous informative content. Kudos to raj for the amazing initiative of bringing ashneer to the show. He is truly a legend. Also, questions that you asked was very good. Keep it up dude. Looking forward for some more interesting conversations like this "
94,"Being Gujarati Businessman i know What Required for Business (1) 1st Most Important Burning Desire (2) 2nd Gather Courage to Start Business & Business Requirement (3) Money comes on Third Important,, You can Gather Money By saving,, Loan Etc"
95,More than 7 lacs views in a single day on a 86 minutes videos. It clearly shows the thirst of learning from this guy. 
96,"Finally watcted this amazing podcast !
Thanks Raj for having Ashneer on figuring out "
97,One of the best Podcast I listen  in my life.. NO NONSENSE NO DOGLAPAN..
98,"After watching Shark Tank...I learnt

1. Ashneer jaise brutal aur straight forward raho dandhe mein
2. Aman tara energetic aur excite raho
3. Anupam jaise humility, patience aur kuch aur dig ya khoj karne ka chaahat rakho
4. Piyush jaise IT / Tech angle daalne ki koshish karo
5. Vineetha ka smile rakho moo pe
6. Namitha se, Better luck next time / is product se mein connect nahi kar paa Raha hun seekho"
99,"During shark tank episodes, Grover sir has helped raw pitchers to get a better deal rather than sell out. I appreciate your intervention."
100,Yaar....this guy very sorted and straightforward .....and whenever it comes to business he becomes very serious because he value business field and when it comes to common casual talk he becomes humble ..........I love this guy....I have huge respect for him....
101,People might've had contrasting opinions about Ashneer Grover but everyone eventually agrees with the fact that he did bring a certain spark to the show that felt missing in the episodes without him.
102,I couldn't take the courage to pause the video throughout the podcast. Too straight forward conversation without any ill distractions. Deeply covered the market needs and investment strategy topic. 
103,"Wonderful conversations, Mr Ashneer has clear, concise, complete information for every question."
104,"Ashneer's biggest strength is his clear, direct and straight forward approach to life."
105,"Sometime you be nice by not being nice with a person. This quote by ashneel hit me hard. 

He is naval of India. What a man. True masculine personality. The world is lacking a MAN like him nowadays."
106,I'm in love with Ashneer Grover. This is the personality we need in a guy for a relationship or investment. 
107,"Wow, this is equivalent to reading 10 books on fundamentals. Ashneer Rocks ."
108,Such a great conversation . Ashneer is the figure i was looking for. Genius 
109,"Super Fun and so much for me to learn and grab stuffs from here . Thank you Raj Bhaiya . One request , Please do one podcast with Aman Gupta Sir ."
110,"For the first time ever I could hear a podcast at a stretch , this man is going to go bigger from here"
111,"This is my first time listening to your podcast honestly,I came here for ashneer but raj the way you drove the conversation in the podcast I absolutely loved it!!!! All the topics were soo specific and relevant to the podcast there was no BS."
112,"""You cannot not have a view on me. Either you love me or hate me""- Ashneer Grover 1:05:48 Golden lines"
113,"Amazing podcast. So much to learn
1. How and when to invest?
2. How to say ""No""?
3. How one can be sure about his choice of things?
.
...

You can't be a problem you have to solve a problem. 
.
."
114,"Very matured and interesting conversation  Ashneer is really forward person and he's very right to the point where said that you have to be honest if something just does not work for you or your business. When becomes honest abt the problem situation, grip on problem becomes more stronger and is a key point to the solution !!"
115,Ashneer is my inspiration... Each word he said makes sense ...so logically right.
116,Respect is reaching over the roof ️️️️️️
117,Learnt soo much from this podcast... thanks Raj from bringing Ashneer
118,Ashneer has explained how uniquely he tries to add value in testing times to the startups he has invested in. A lot of businesses that rejected Ashneer's offers might now be regretting their decision. 
119,Loved the podcast this guy is really a inspiration for new entrepreneurs my fav shark 
120,Raj was not mature enough to take on this podcast I guess. Ashneer was killing it with his great intellect and simplistic mind.
121,"This guy is so concise & raw! Extreme opposite of ""Doglapan""!  I love his sharp candid insights!"
122,Really amazing and very indepth questioning. Earlier I felt it was slow but it was required to extract all the information. 
123,I don't know how but ended up watching the whole video. And the way he understands the need of market is really commendable.
124,"The way he explains these businesses tactics is highly commendable, seriously a layman can get to know these things very easily, ashneer is truly a spotlight thief,he truly deserve all success, love, and happiness"
125,Best part for me is when he said I innovate in my BUSINESS in every SIX months. 
126,I liked the Hindi vs English language part of the video and those business ideas eg. Park+ etc and also the level of  intelligence of this man done smartly.
127,All businessmen should give such interviews to give business insights
128,"Idk why everyone firstly hated Ashneer in shark tank, I found him logical and an inspiring personality from the 1st episode only"
129,Ashneer gave some genuine tips on being a investor and being a entrepreneur.
130,"Literally, i learned a lot from this guy- ashneer Grover. This guy has cleared fundamental about Economis and Business Fundamentals"
131,Best podcast i ever heard till now... What a man asheer 
132,This podcast really helps a people who wants to become an entrepreneur.
133,Beleive me learning from this guy will help more than private college  mba degree
134,Loved the 2nd last advice question  and Ashneer said No .This man is a legend.
135,One of the best interviews i have ever come across! Completely an institute man.
136,"""You can't be the problem, you have to solve a problem"". This line can easily be your life mantra in terms of professional relations.
Shows how magnificent Ashneer Grover is as a person."
137,I had  watched entire video in one show without being getting bored one of the best interview i have watched till now..
138,"Most watched podcast of Raj Shamani in a day
Kudos "
139,"This is the first time I saw your show Raj, and i must say, you are very good host. very intelligent questions asked very craft fully, I saw Ashneer's different side today and became fan of this guy. Awesome people you two are."
140,One of the deep and very insightful interview ever.... Ashneer has a very insights.... Loved it
141,29:00 is the pitch perfect proposition for any business 
142,"Wow. Raj is a big deal! Truly a trailblazer move to get him on the podcast. This was much awaited. Thank you so much, Raj and team!"
143,"Raj bhai, abhi tak ka best podcast. LOVE you brother and your efforts and WISDOM."
144,"Many of us still live with the conservative mindsets and fail to accept the crystal clear facts and reciprocate to the feedback positively, especially when its very straight forward. Infact, we often expect a sugar coated statements with hollow compliments from our audiances or the people around us..

Ashneer Grower makes it very simple, crisp and clear. His ideology as a businessman (not so called fancy jargons - an entrepreneur, widely used from a decade or so) is outstanding. ""Bhai, agar aap dukaan kholke baithe ho to din ke ant me grahak aur dhandha dono aane chahiye, paise banne chahiye, baki to sab gyan hai. Meri acchi baate sunke aapka aur mera pet nahi bharega.""

Kudos brother! Keep inspiring!!!"
145, what an amazing and knowledge packed episode .
146,Mad respect to Ashneer! What a genuine guy!! Love from Pakistan.
147,Today I learnt to say no without the feeling of guilt and I am sure this will help me in future a lot. Thanks a lot for this great informative video.  And we are always excited to learn from such videos. thank you.
148,Ashneer is one of the most loved shark among all other sharks. The best thing about him is he doesn't add filters while talking & being honest every moment. Thanks Raj to bring him on podcast. Waiting for other sharks to see on your podcast .
149,Now this shows the other side of Ashneer which is just opposite of what has been formed of him by the people by watching ST. Ashneer is a gem businessman. Great Interview.
150,"You can't be the problem, You solve the problem.. Superb line.."
151,When he said Education works like a passport for a middle class person 
152,Want ore of these podcasts sir..keep going 
153,Loved it....thanks for bringing this candidly ️
154,"Ashneer is the master of simplicity which is one of the most hardest skill.
"" IF YOU CANT EXPLAIN THINGS SIMPLY YOU DO NOT UNDERSTAND IT WELL ENOUGH"" - ALBERT EINSTEIN"
155,"No offense but this podcast is most informative till date. I have not seen any entrepreneur sharing strategies with such clarity with more focus on fundamentals. 
Massive respect."
156,Absolutely loved this conversation! Thanks!
157,"He is so relatable, free of jargons ...nice podcast!"
158,"Lastly
He is the one
so candid with honesty
That I see a next Ratan Tata, or JRD in him "
159,"Dude you can make so many punchlines from this video. Funny how a person assumed to be very rude could deliver punchlines on punchlines that too in a non scripted hour and a half long podcast. No matter whether you agree with his business modules or his personal life or not, with controversies and all, but you cannot deny ashneer is one heck of a guy. He may be good, may be bad but definitely not forgettable and a hardcore honest guy."
160,Such a deep & therapeutic conversation! A must listen for the ones who are trying to make a place for themselves in the market space. Ashneer's brutal honestly & simplified straightforward logic to the questions asked is when you can see that this guy is a gem of a person!
161,I can listen to this man all day honestly....he is such a gem of a person...though I don't have any interest in business ...one clip of ashneer sir's in  Facebook made me watch the show for the first time .. when I saw the clip on Facebook I was irritated by his personality or the way of talking ....but when I saw the first episode my opinion changed about him .even though there was negetive comment on him ..I was still liking his personality then i saw all the episodes in row only because of him ...and then there were some episodes ...we was not there ..honestly I haven't seen those episodes even now...and this podcast helped me to know him better ...I generally don't watch or listen to podcasts because they r long conversations ..but this was exceptional ..I m a MBBS student ..inspite of knowing nothing about business I listened to the whole podcast ....people should idolize this kind of persons ...people should possess this kind of clarity ...honestly he is an unique personality....love him the way he is ...god bless him
162,Sir please bring more business man on platform. Will get to learn so may things. Specially for different kind of start up.
163,his one take away I had in shark tank : Sometimes you are nicest to people by not being nice to them ...i have become a big fan of him ...he carries a unique personality.
164,"Common QR was just a penetrating point for Bharat pe, real intent was providing loans to small traders, digitising the loan books and organising the  unorganised loan market!"
165,"Most valuable business insights ️️️  Raj sir, please take time to interview all the Shark"
166,Loved this podcast. Learnt more from this about differentiation and product market fit than an entire course. Thank you. Please interview more entrepreneurs and please Please get Peyush Bansal and Aman from Boat as well. Please Please 
167,much respect to Ashneer Grover ️️
168,wonderful Podcast  Raj you should do podcasts with other sharks too
169,Best inspiration for Indian entrepreneurs.
170,Bloody hell! The guy can write a book on business and life!!
171,The questions are fantastic.. and natural.. thanks for the questions.. they were able to bring out amazing answers from Ashneee
172,To a person who used to get so disturbed seeing ashneer during the first week of shark tank....to such a big fan of his mentality and his straightforwardness ! Respect    And indeed one of the most amazing podcasts I have ever seen
173,"Ashneer reminds me of my own dad , straight forward and brutally honest "
174,"I have a startup and i liked Ashneer's advices most in the show.
His realistic approach and no nonsense attitude is just "
175,"Very nice podcast
Practical knowledge shared by Ashneer "
176,"Great Conversation .. Great Questions @Raj Shamani and with Awesome Answers by Ashneer Sir, Learnt a lot of insight ... Thank you :)"
177,"He is very much genuine person ️️ As an investor or business person , he is very sorted .."
178,Ashneer is a guy whose math teacher is always proud of him !! 
179,Imagine Ratan Rata as Shark Tank S2 Judge 
180,Simply Great Conversation. I loved it.
181,Ashneer is amazingly clear in his head...lot of things to learn from him
182,4:20 exactly . I being a vegetarian never judge any non vegetarian. I can share my food with someone who is on nonveg food. It's a part of food chain
183,"Hey Raj you are doing great and this session with A Grover was very much needed , thanks to the You tube algorithm and SEO  that i got new channel to subscribe . I have one quesation which I would be glad that you gonna ask a similar candidate that is it that necessery to pass out from IIT AND IIM only to become so successful Person? plese do ask when when you do podcast with similar personality? SIDHI BAAT NO BAKWAAS kunki sabka taaana sun sun ke pak gaya hun ...Hindi mein jyada connectivity hai...loved your show ...<3 #spellcheck"
184,Can't share how much practical knowledge he shared with this talk. Thank you Ashneer.
185,Great conversationLove you guys!
186,Whether you like him or not... Ashneer knows what's business and how to build it...
187,At the beginning of your journey if you were straight forward then salute you. If this came after your success then it’s a different story.
188,"When entrepreneurs became celebrity , india is on right path!"
189,"I think he was the soul of Shark Tank!! I never found him being selfish, when he was scolding any of them....he was always talking logic!!"
190,"We haven't really seen Ashneer in an unfiltered conversation since Shark Tank India. This was an amazing podcast with insights about business, mindset and life in general."
191,"""Vijay se mila tha me"" .. the most liked line in 15 mins... Both of them are like inspiration to aspirants... And ofcourse Aman sir and piyush sir .."
192,"Finally right people getting fame, hope many youngsters inspire and follow thier path"
193,Damn such clarity! Thank you for doing this Raj!
194,Big fan of ashneer sir becoz of his honesty and Clear business mindset.
195,"Amazing insights from Aneesh , superb "
196,I think Ashneer is smart enough to become one of the best personality coaches ever! The business genius is just his outer layer but what is inside is an equally brilliant psychologist.
197,"I watched this during Feb 2022 the first time and again in Jun 2022 and still it feels sooo new and fresh and loads of insights from Ashneer...
I like Ashneer soooo very much"
198,"In our society of diplomacy and sugarcoating everything, Ashneer comes in like a fresh, blunt and clear person that we could see after a very long time. This was so needed. Thanks Raj for this conversation."
199,Ashneer grover is a straight forward guy... His way of talking itself has a aura.. You wanted to listen it whole day... Very inspiring man️
200,Ashneer is a brilliant and brainy guy who speaks the truth and doesn't please anyone. I agree he is a tad rude sometimes but his intentions are not bad. I had a chance to speak with him a couple of times on calls and whatsapp during my stint with one of the early to growth-stage startups. Proud to be in this startup ecosystem for 8 years now. Dreaming of starting my own venture someday.
201,"Outstanding personality, Ashneer Grover "
202,Genuine entrepreneur ️
203,Such a real guy Ashneer is <3
204,Nice podcast .Wish I could have more people like him in my life . He shows you the mirror in the best possible way . People think that English is standard language of educated individualbut this man will hopefully changed this mindset . Great Personality !!!
205,"very good business knowledge and experience shared with us, thank u."
206,I love Ashneer's personality! 
207,I had a teacher just like Ashneer. He used to scold in front of everyone. He used to give the negative feedback then and there and was extremely strict. But only after the results I realised how important that teacher is for me. I used to be dead scared of him and even now I feel a little scared to talk to him but now we laugh it off.
208,Great conversation man… 
209,It is really nice to hear calm and composed side of Ashneer
210,"This is how a podcast should be, Ashneer ji had truly given impeccable insights for budding entrepreneurs like me and millions of others. Kudos to you Raj for such a wonderful and informative podcast. "
211,at a stretch i have watched three podcasts mean while working .. Loved it Raj.
212,The Quality of this conversation is on some other tangent! ️
213,What a great conversation.. each and every second is worth listening
214,Raj sir totally loved it 
215,He is such a genuine person. Where was he living before Shark Tank?
216,"Extremely well put together podcast, Infact after the Kunal Shah podcast this has to be the most interesting one.
Ashneer is one the most intensely smart and well-informed entrepreneur in the Fintech Industry. A guy who has literally spent 8+ years devouring the fintech space.
Kudos to him and to the Raj for bringing him to the podcast."
217,Wow..one of the best video I have seen on the YouTube. Very rarely you come across such content which you understand fully and gives you something to think about.
218,I really love him as because of his straightforwardness love it dude
219,"You may hate him but never disagree with him 
He is a down to earth entrepreneur 
Respect "
220,"Wow, Great perspective, 'Naa ek short term phenomena hai and Haan ek long term phenomena hai' whenever you say No or Yes, proper certitude should be in your uttering these words. He is a straight forward person."
221,I love how he speaks in hindi and people listen to him  hope all Indians one day accept Hindi as first language
222,What a conversation man! Such a gem of a person Ashneer is. I really really love his personality damn!! Can't thank you guys enough for bringing this podcast! Maza aa gaya yaar 
223,We indian need more people like ashneer sir.
224,this is what India needs. 
225,Ashneer sir...is a gem.He is a prime example  of god has given you brain  use it.
226,Best interview of a businessman. Thanks to  Ashneer for sharing this thought! YOu should have asked more questions in Hindi
227,"After very long time I watched one full podcast episode in a single attempt. Amazing conversation, Ashneer very insightful."
228,I think this episode has highest view ever till now on Raj's channel in just 1 day
229,I really love this guy..#AshneerIsTheBest!!
230,"The moment Raj took longer than 2seconds to ask a question i kept waiting for Ashneer to say ""ha yeh sab hote rahenga aab business pe aate hain"""
231,I like this man. He is the true defination of brutal honesty.
232,"1 Million+ view in just 2 days, that's the Ashneer Grover supermacy!!! "
233,That was an awesome podcast. Loved it. Already listened to it twice in two days. Hope I get to see ashneer sir in more podcasts.
234,"great person, lesson can learn from him, will boost jindagi for somewhere from now"
235,Ashneer Grover Sir is full of intellect !
236,I liked Ashneer's brutal honesty.
237,"Good for entrepreneurs, but I truly hope that scientists too get recognition. Just like Neil deGrasse Tyson or Bill Nyle. Science and technology is one of the things America is built on. As the simple cycle goes, for any country,
Research (science) -> Innovation (technology) -> mass reach (entrepreneurs) -> money ( fame ).
We have gained the right track but still a lot to cover."
238,Wow very clear and straight forward nature ashneer sir best podcast I have listened 
239,"Such a well learned person and clear person, also look at his pitching skills while explaining Bhartpe features"
240,#Huge_respect_for_Ashneer️️️️
241,His communication is like Harvey Specter from Suits. No means straight NO!! Straight on face jo hai on face!! Loved his behaviour 
242,He is a man of great moral and ethics . He doesn’t drink and smoke and good in studies . An ideal child a parents could ask for .
243,"Loved it man…!
One of very few podcast i saw end to end…"
244,Superb Episode. Ashneer is real ans straight to the point
245,"Probably, the best podcast I have listened to. The kind of questions Raj asked & for a human and opinions shared by Ashneer Ji. Absolute honor"
246,Well..i love how straight forward ashneer is..i mean it feels like every words he speak have their own weightage...
247,Indeed honest he is ️
248,One of best podcast I ever seen/listening in enter life till now.
249,"When he said I'm not saying I'm good, i am what I am, whether you like it or not. Thats just brutal honesty man."
250,The most intelligent and relatable guy on Shark Tank
251,Ashneer never listened to a podcast but today he made one of the best podcast for all new entrepreneurs out there . 
252,True entrepreneur 
253,GLORIOUS CONVERSATION!!!
254,"Best podcast of 2022 thank you Raj Shamani 
Ashneer Grover big fan really like it"
255,This is called confidence!
256,"Love 'Hindi' and more my mother language - Gujarati as well, I agree, with Ashneer Grover on language love of India. Wishing you all 'International Mother Language Day'."
257,Life changing interview. Ashneer seems like an honest man
258,This podcast will change POV about ashneer sir ️️️
259,Bhai this podcast is GOLD! Ashneer 
260,Great podcast ️
261,Very Nice clear and clean…Love for Entrepreneurs  for ashneer.
262,This is one of best interview I have heard  in recent times
263,"Great great interview. My views genuinely changed about Ashneer, I always thought he would be after his investments and founders about profits. But I loved the way he explained how he genuinely helps his founders.  loved this podcast"
264,Better than all episodes of shark tank put together.
265,STRAIGHT TO THE POINT podcast
266,"Everyone is thanking ashneer sir 
Let's also thank Raj shamnani for this beautiful interview. 
These people ought to be celebrated. 
Highly motivated specually when he said - business me FIR ho jata hai... Shit happens 
Experienced and struggled 
No ass came forward 
Wish I had someone like ashneer. 
Though all sorted now"
267,What a man  Great clarity 
268,He is my favorite shark. I watch Shark Tank mainly because of him. But everything he said does not apply to every industry.
269,"Most of the times, how our outer world is manifested depends on your how clean, simple yet logically powerful your inner world is. Ashneer, you are an example of one such person."
270,Very insightful interview 
271,What a lovely podcast!
272,"Ashneer is person who loves Japanese model of capitalism , atleast of the perception he created through the show"
273,Very well conducted interview.
274,Great Thoughts and words BY Ashneer
275,Ashneer is straightforward which is rare in the business world. Absolute fire . Dhandha banao
276,Respect to you sir #ashneer grover ...true businessman
277,Superb Interview. His image will change a bit for sure. Thankyou for this. 
278,This guy is inspiring me a lot
279,Loved the conversation 
280,He values Hindi over English. Respect!
281,Now i understand how this man made multiple successful companies. He is so clear about everything and have ideas about people's mentality.
282,Man believe me Ashneer Grover is just lit 
283,Ashneer genuine entrepreneurs ️
284,2:48 that smile switch from  to 
285,please try to get more sharks on figuring out....We love to hear them too
286,I love this conversation..love  you Ashneer Bhai.bless you
287,"Ashneer is so right that one to one interview had another level of effect. 
Please do this kinda video with every single shark in a personal level."
288,"First he was looking like a villain
Now he is the biggest hero "
289,Randomly stumbled up on this video. I never heard of Raj & Ashneer but after seeing this I became a huge fan of them.
290,What a man Ashneer paaji ️
291,"The wisest thing that should be on everyone mind currently should be to invest in different streams of income that doesn't depend on the govt. Especially with the current economic crisis around the word. This is still a good time to invest in Gold, silver and digital currencies(BTC, ETH..)."
292,I love how he is good in english but still choose to speak hindi because he understands hindi says what it wants to. Plain and simple
293,Jordan peterson said: “You should first be a beast and then learn to control it” Ashneer is a prime example of it.
294,"Loved it , insightful "
295,"He is teaching many things to ppl ,who r not aware about such things."
296,this conversation adds lots of new things in me ..so thanku so much
297,Thanks for Raj shamani......who brought him legends
298,Great fan of Ashneer sir ️
299,"I love and admire Ashneer’s way of working. It doesn't matter if he is blunt/ rough, What matter is - brutal honesty, so straightforward, vision and No buttering!!! 

Bdw I have all my leaders and people around me like him - Straight forward, Honest, Vision! ️"
300,If anyone follows all his values giving his/her whole dedication then he/she will be the next crorepati.
301,Superb...all the way it went this conversation!!!!
302,i appreciate your work
